
Thu Jun 09 15:04:23 BRT 2022, bubble_sort, 1000, pior, 3, 3709264
Thu Jun 09 15:07:04 BRT 2022, bubble_sort, 1000, pior, 11, 2827264
Thu Jun 09 15:07:04 BRT 2022, bubble_sort, 1000, pior, 15, 3415720
Thu Jun 09 15:07:04 BRT 2022, bubble_sort, 1000, pior, 3, 3415720
Thu Jun 09 15:07:04 BRT 2022, bubble_sort, 1000, pior, 2, 3415720
Thu Jun 09 15:07:04 BRT 2022, bubble_sort, 1000, pior, 3, 3415720
Thu Jun 09 15:07:56 BRT 2022, bubble_sort, 1000, pior, 12, 2827264
Thu Jun 09 15:07:56 BRT 2022, bubble_sort, 1000, pior, 12, 3415544
Thu Jun 09 15:07:56 BRT 2022, bubble_sort, 1000, pior, 3, 3415544
Thu Jun 09 15:07:56 BRT 2022, bubble_sort, 1000, pior, 2, 3415544
Thu Jun 09 15:07:56 BRT 2022, bubble_sort, 1000, pior, 4, 3415544
Thu Jun 09 15:08:15 BRT 2022, bubble_sort, 1000, pior, 12, 2826240
Thu Jun 09 15:08:15 BRT 2022, bubble_sort, 1000, pior, 5, 3415536
Thu Jun 09 15:08:15 BRT 2022, bubble_sort, 1000, pior, 6, 3415536
Thu Jun 09 15:08:15 BRT 2022, bubble_sort, 1000, pior, 3, 3415536
Thu Jun 09 15:08:15 BRT 2022, bubble_sort, 1000, pior, 2, 3415536
Thu Jun 09 15:08:27 BRT 2022, bubble_sort, 1000, pior, 12, 2826240
Thu Jun 09 15:08:27 BRT 2022, bubble_sort, 1000, pior, 13, 3415544
Thu Jun 09 15:08:27 BRT 2022, bubble_sort, 1000, pior, 6, 3415544
Thu Jun 09 15:08:27 BRT 2022, bubble_sort, 1000, pior, 6, 3415544
Thu Jun 09 15:08:27 BRT 2022, bubble_sort, 1000, pior, 5, 3415544
Thu Jun 09 15:09:42 BRT 2022, bubble_sort, 1000, pior, 11, 2826240
Thu Jun 09 15:09:42 BRT 2022, bubble_sort, 1000, pior, 3, 3562392
Thu Jun 09 15:09:42 BRT 2022, bubble_sort, 1000, pior, 3, 3709248
Thu Jun 09 15:09:42 BRT 2022, bubble_sort, 1000, pior, 3, 3709248
Thu Jun 09 15:09:42 BRT 2022, bubble_sort, 1000, pior, 3, 3709248
Thu Jun 09 15:10:42 BRT 2022, bubble_sort, 1000, pior, 12, 2826240
Thu Jun 09 15:10:42 BRT 2022, bubble_sort, 1000, pior, 14, 3562408
Thu Jun 09 15:10:42 BRT 2022, bubble_sort, 1000, pior, 6, 3709264
Thu Jun 09 15:10:42 BRT 2022, bubble_sort, 1000, pior, 5, 3709264
Thu Jun 09 15:10:42 BRT 2022, bubble_sort, 1000, pior, 5, 3709264
Thu Jun 09 15:11:29 BRT 2022, bubble_sort, 1000, pior, 12, 2826240
Thu Jun 09 15:11:29 BRT 2022, bubble_sort, 1000, pior, 8, 3562392
Thu Jun 09 15:11:29 BRT 2022, bubble_sort, 1000, pior, 3, 3709248
Thu Jun 09 15:11:29 BRT 2022, bubble_sort, 1000, pior, 2, 3709248
Thu Jun 09 15:11:29 BRT 2022, bubble_sort, 1000, pior, 2, 3709248
Thu Jun 09 15:17:09 BRT 2022, bubble_sort, 1000, pior, 11, 2826240
Thu Jun 09 15:17:09 BRT 2022, bubble_sort, 1000, pior, 11, 3562408
Thu Jun 09 15:17:09 BRT 2022, bubble_sort, 1000, pior, 3, 3709264
Thu Jun 09 15:17:09 BRT 2022, bubble_sort, 1000, pior, 3, 3709264
Thu Jun 09 15:17:09 BRT 2022, bubble_sort, 1000, pior, 4, 3709264
Thu Jun 09 15:17:09 BRT 2022, bubble_sort, 1000, pior, 1, 3709264
Thu Jun 09 15:17:09 BRT 2022, bubble_sort, 1000, pior, 1, 3709264
Thu Jun 09 15:18:26 BRT 2022, bubble_sort, 1000, pior, 13, 2826240
Thu Jun 09 15:18:26 BRT 2022, bubble_sort, 1000, pior, 7, 3562392
Thu Jun 09 15:18:26 BRT 2022, bubble_sort, 1000, pior, 3, 3709248
Thu Jun 09 15:18:26 BRT 2022, bubble_sort, 1000, pior, 3, 3709248
Thu Jun 09 15:18:26 BRT 2022, bubble_sort, 1000, pior, 4, 3709248
Thu Jun 09 15:18:26 BRT 2022, bubble_sort, 1000, pior, 3, 3709248
Thu Jun 09 15:18:26 BRT 2022, bubble_sort, 1000, pior, 4, 3709248
Thu Jun 09 15:18:45 BRT 2022, bubble_sort, 1000, pior, 14, 2827264
Thu Jun 09 15:18:45 BRT 2022, bubble_sort, 1000, pior, 2, 3415552
Thu Jun 09 15:18:45 BRT 2022, bubble_sort, 1000, pior, 3, 3415552
Thu Jun 09 15:18:45 BRT 2022, bubble_sort, 1000, pior, 3, 3415552
Thu Jun 09 15:18:45 BRT 2022, bubble_sort, 1000, pior, 4, 3415552
Thu Jun 09 15:18:45 BRT 2022, bubble_sort, 1000, pior, 4, 3415552
Thu Jun 09 15:18:45 BRT 2022, bubble_sort, 1000, pior, 3, 3415552
Thu Jun 09 15:21:18 BRT 2022, bubble_sort, 1000, pior, 12, 2826240
Thu Jun 09 15:21:18 BRT 2022, bubble_sort, 1000, pior, 6, 3562408
Thu Jun 09 15:21:18 BRT 2022, bubble_sort, 1000, pior, 2, 3709264
Thu Jun 09 15:21:18 BRT 2022, bubble_sort, 1000, pior, 2, 3709264
Thu Jun 09 15:21:18 BRT 2022, bubble_sort, 1000, pior, 3, 3709264
Thu Jun 09 15:21:18 BRT 2022, bubble_sort, 1000, pior, 2, 3709264
Thu Jun 09 15:21:18 BRT 2022, bubble_sort, 1000, pior, 2, 3709264
Thu Jun 09 15:21:42 BRT 2022, bubble_sort, 1000, pior, 15, 2826240
Thu Jun 09 15:21:42 BRT 2022, bubble_sort, 1000, pior, 10, 3562408
Thu Jun 09 15:21:42 BRT 2022, bubble_sort, 1000, pior, 4, 3709264
Thu Jun 09 15:21:42 BRT 2022, bubble_sort, 1000, pior, 3, 3709264
Thu Jun 09 15:21:42 BRT 2022, bubble_sort, 1000, pior, 3, 3709264
Thu Jun 09 15:21:42 BRT 2022, bubble_sort, 1000, pior, 4, 3709264
Thu Jun 09 15:21:42 BRT 2022, bubble_sort, 1000, pior, 2, 3709264
Thu Jun 09 15:22:01 BRT 2022, bubble_sort, 1000, pior, 15, 2826240
Thu Jun 09 15:22:01 BRT 2022, bubble_sort, 1000, pior, 11, 3562408
Thu Jun 09 15:22:01 BRT 2022, bubble_sort, 1000, pior, 19, 3709264
Thu Jun 09 15:22:01 BRT 2022, bubble_sort, 1000, pior, 1, 3709264
Thu Jun 09 15:22:01 BRT 2022, bubble_sort, 1000, pior, 1, 3709264
Thu Jun 09 15:22:01 BRT 2022, bubble_sort, 1000, pior, 0, 3709264
Thu Jun 09 15:22:01 BRT 2022, bubble_sort, 1000, pior, 1, 3709264
